Sample #,Start Date,Start Time,Sample Length,Averaging Interval (s),Title,Instrument ID,Instrument Errors,Conc Mean,Conc Min,Conc Max,Conc Std Dev
1,06/06/22,14:12:39,10,1,,3775  71025228 2.16,None,717.5,585.9,797.6,68.0925
2,06/06/22,14:12:49,10,1,,3775  71025228 2.16,None,822.33,595.2,1378.6,272.6
3,06/06/22,14:13:01,10,1,,3775  71025228 2.16,None,489.86,194.2,666.4,164.177
4,06/06/22,14:13:12,10,1,,3775  71025228 2.16,None,73.371,30.11,149.5,36.2039
5,06/06/22,14:13:23,10,1,,3775  71025228 2.16,None,17.3137,10.825,26.56,5.12728
6,06/06/22,14:13:34,10,1,,3775  71025228 2.16,None,7.5919,3.738,12.791,2.96522
7,06/06/22,14:13:45,10,1,,3775  71025228 2.16,None,8.7337,4.13,14.952,3.21012
8,06/06/22,14:13:56,10,1,,3775  71025228 2.16,None,3.7369,1.966,5.704,1.052
9,06/06/22,14:14:07,10,1,,3775  71025228 2.16,None,1.9868,0.788,3.539,0.845028
10,06/06/22,14:14:18,10,1,,3775  71025228 2.16,None,1.751,0.788,2.754,0.599256
11,06/06/22,14:14:29,10,1,,3775  71025228 2.16,None,1.8297,0.591,2.95,0.596676
12,06/06/22,14:14:40,10,1,,3775  71025228 2.16,None,1.1217,0.197,1.969,0.597177
13,06/06/22,14:14:51,10,1,,3775  71025228 2.16,None,0.9251,0.197,2.949,0.751361
14,06/06/22,14:15:02,10,1,,3775  71025228 2.16,None,2.0459,0.787,3.147,0.767818
15,06/06/22,14:15:13,10,1,,3775  71025228 2.16,None,5.5866,3.736,8.064,1.59451
16,06/06/22,14:15:24,10,1,,3775  71025228 2.16,None,6.5913,4.524,7.675,1.07968
17,06/06/22,14:15:35,10,1,,3775  71025228 2.16,None,7.1408,5.31,9.641,1.62516
18,06/06/22,14:15:46,10,1,,3775  71025228 2.16,None,7.0808,5.31,9.049,1.19928
19,06/06/22,14:15:57,10,1,,3775  71025228 2.16,None,7.5934,5.901,9.245,1.04865
20,06/06/22,14:16:08,10,1,,3775  71025228 2.16,None,6.6672,5.31,9.045,1.20661
21,06/06/22,14:16:19,10,1,,3775  71025228 2.16,None,7.0237,5.901,8.848,0.829805
22,06/06/22,14:16:30,10,1,,3775  71025228 2.16,None,13.8878,6.492,23.214,6.34118
23,06/06/22,14:16:41,10,1,,3775  71025228 2.16,None,16.8372,9.645,23.02,4.25056
24,06/06/22,14:16:52,10,1,,3775  71025228 2.16,None,11.5659,4.13,21.84,5.70054
25,06/06/22,14:17:03,10,1,,3775  71025228 2.16,None,2.3214,1.574,3.541,0.690928
26,06/06/22,14:17:14,10,1,,3775  71025228 2.16,None,0.8859,0,1.969,0.62402
27,06/06/22,14:17:25,10,1,,3775  71025228 2.16,None,0.2364,0,0.788,0.22974
28,06/06/22,14:17:36,10,1,,3775  71025228 2.16,None,0.1969,0,0.394,0.152467
29,06/06/22,14:17:47,10,1,,3775  71025228 2.16,None,0.0197,0,0.197,0.0591
30,06/06/22,14:17:58,10,1,,3775  71025228 2.16,None,0.5513,0.394,0.984,0.211748
31,06/06/22,14:18:09,10,1,,3775  71025228 2.16,None,0.2363,0,0.59,0.212009
32,06/06/22,14:18:20,10,1,,3775  71025228 2.16,None,0.4332,0,0.985,0.289353
33,06/06/22,14:18:31,10,1,,3775  71025228 2.16,None,0.256,0,0.591,0.197814
34,06/06/22,14:18:42,10,1,,3775  71025228 2.16,None,0.2364,0,0.591,0.171741
35,06/06/22,14:18:53,10,1,,3775  71025228 2.16,None,0.2167,0,0.788,0.27083
36,06/06/22,14:19:04,10,1,,3775  71025228 2.16,None,0.1773,0,0.591,0.205674
37,06/06/22,14:19:15,10,1,,3775  71025228 2.16,None,0.1181,0,0.394,0.157425
38,06/06/22,14:19:26,10,1,,3775  71025228 2.16,None,0.1576,0,0.394,0.171741
39,06/06/22,14:19:37,10,1,,3775  71025228 2.16,None,0.0788,0,0.197,0.0965099
40,06/06/22,14:19:48,10,1,,3775  71025228 2.16,None,0.0591,0,0.197,0.0902767
41,06/06/22,14:19:59,10,1,,3775  71025228 2.16,None,0.1576,0,0.394,0.1182
42,06/06/22,14:20:10,10,1,,3775  71025228 2.16,None,0.1575,0,0.394,0.147261
43,06/06/22,14:20:21,10,1,,3775  71025228 2.16,None,0,0,0,0
44,06/06/22,14:20:32,10,1,,3775  71025228 2.16,None,0.0591,0,0.394,0.126142
45,06/06/22,14:20:43,10,1,,3775  71025228 2.16,None,0.0985,0,0.394,0.132152
46,06/06/22,14:20:54,10,1,,3775  71025228 2.16,None,0.1378,0,0.59,0.197754
47,06/06/22,14:21:05,10,1,,3775  71025228 2.16,None,0.3938,0,0.984,0.291929
48,06/06/22,14:21:16,10,1,,3775  71025228 2.16,None,0.0985,0,0.197,0.0985
49,06/06/22,14:21:27,10,1,,3775  71025228 2.16,None,0.1379,0,0.394,0.153862
50,06/06/22,14:21:38,10,1,,3775  71025228 2.16,None,0.1576,0,0.394,0.147421
51,06/06/22,14:21:49,10,1,,3775  71025228 2.16,None,0.1576,0,0.394,0.147421
52,06/06/22,14:22:00,10,1,,3775  71025228 2.16,None,0.1379,0,0.394,0.126142
53,06/06/22,14:22:11,10,1,,3775  71025228 2.16,None,0.0788,0,0.394,0.130675
54,06/06/22,14:22:22,10,1,,3775  71025228 2.16,None,0.1182,0,0.197,0.0965099
55,06/06/22,14:22:33,10,1,,3775  71025228 2.16,None,0.1576,0,0.394,0.147421
56,06/06/22,14:22:44,10,1,,3775  71025228 2.16,None,0.0197,0,0.197,0.0591
57,06/06/22,14:22:55,10,1,,3775  71025228 2.16,None,0.0394,0,0.197,0.0788
58,06/06/22,14:23:06,10,1,,3775  71025228 2.16,None,0.1379,0,0.197,0.0902767
59,06/06/22,14:23:17,10,1,,3775  71025228 2.16,None,0.0985,0,0.197,0.0985
60,06/06/22,14:23:28,10,1,,3775  71025228 2.16,None,0.0591,0,0.197,0.0902767
61,06/06/22,14:23:39,10,1,,3775  71025228 2.16,None,0.0985,0,0.591,0.181625
62,06/06/22,14:23:50,10,1,,3775  71025228 2.16,None,1.2794,0.197,3.737,1.06728
